CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-05-01 00:00,86.5,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-06-01 00:00,49.6,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-07-01 00:00,58,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-08-01 00:00,46.5,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-09-01 00:00,85.7,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-10-01 00:00,106.5,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-11-01 00:00,54.9,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2001-12-01 00:00,70,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-01-01 00:00,3,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-02-01 00:00,8.2,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-03-01 00:00,60.5,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-04-01 00:00,142.5,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-05-01 00:00,80,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-06-01 00:00,82,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-07-01 00:00,23.3,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-08-01 00:00,31.8,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-09-01 00:00,35.8,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-10-01 00:00,96.5,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-11-01 00:00,7.7,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-12-01 00:00,101,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-01-01 00:00,2,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-02-01 00:00,11.5,50,,900
24030690,CURITAL [24030690],5.9885833330,-72.64405556,352,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Socha,15/05/1974 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-03-01 00:00,81.6,50,,900
